objectid,filename,title,format,description,creator,photographer,date,person,location,topic,rights
jefferson-copier,copier.jpg,Jefferson's Document Copier,image/jpg,"This desk technology provides a glimpse into the mechanical ingenuity of the 18th century, and Jefferson's proclivity for writing. This device allowed for the simultaneous duplication of letters and pre-dates the polygraph.","Non-Applicable","Wilson, Natalie",1780,Thomas Jefferson,Monticello,Domestic Life,Allowed for non-commercial distribution and educational purposes only.
jefferson-view,view.jpg,Mountain View at Monticello,image/jpg,"A scenic look at the surrounding landscape of the estate, more specifically at the end of the front entraceway's walkway. This look demonstrates the natural beauty of the Virginia Piedmont that Jefferson carefully integrated into his home's designl.","Non-Applicable","Wilson, Natalie",,Thomas Jefferson,Monticello,Grounds,Allowed for non-commercial distribution and educational purposes only.
jefferson-gardens,gardens.jpg,Monticello Garden,image/jpg,"This view showcases the cultivated grounds where Jefferson experimented with hundreds of varieties of vegetables and ornamental plants throughout his life. In modernity, the estate still uses the grounds to produce goods such as honey and honey byproducts.","Non-Applicable","Wilson, Natalie",,Thomas Jefferson,Monticello,Grounds,Allowed for non-commercial distribution and educational purposes only.
patsy-desk,patsydesk.jpg,Patsy Jefferson's Desk,image/jpg,"Dating back to the 1780s, this personal furniture belonged to Marth ""Patsy"" Jefferson, Jefferson's daughter who served as his First Lady, and highlights the private domestic life of the Jefferson family.","Unknown","Wilson, Natalie",1780,Patsy Jefferson,Monticello,Domestic Life,Allowed for non-commercial distribution and educational purposes only.
jefferson-playroom,playroom.jpg,Jefferson Children's Playroom,image/jpg,"Located in the uppermost room of the house, this space provides a unique look at the spaces designed for the younger generation of the family during the 1770s. The uppermost room did not have great ventilation, so it was often unused by Jefferson and instead the children would use the space to play; later owners of the home would similarly use the space, with one family putting a billiards table in place!","Jefferson, Thomas","Wilson, Natalie",1770,Thomas Jefferson,Monticello,Domestic Life,Allowed for non-commercial distribution and educational purposes only.
jefferson-window,windowpulley.jpg,Monticello Window,image/jpg,"Featuring an intricate pulley system, the windows lining the top floor of the estate are a testament to Jefferson's fascination with architectural innovation and natural light.","Jefferson, Thomas","Wilson, Natalie",1770,Thomas Jefferson,Monticello,Architecture,Allowed for non-commercial distribution and educational purposes only.
jefferson-guestroom,guestroom.jpg,Mr. Madison's Room at Monticello,image/jpg,"This guest suite, dating to the 1810s, highlights the lifelong friendship between Jefferson and James Madison, who was a frequent visitor to the estate since his own home of Montpelier was just 30 miles away.","Jefferson, Thomas","Wilson, Natalie",1810,Thomas Jefferson,Monticello,Domestic Life,Allowed for non-commercial distribution and educational purposes only.
jefferson-skylight,skylight.jpg,Monticello Skylight,image/jpg,An architectural feature from the original construction of the estate that demonstrates Jefferson's early use of overhead light to illuminate the interior spaces of his neoclassical mansion.,"Jefferson, Thomas","Wilson, Natalie",1770,Thomas Jefferson,Monticello,Architecture,Allowed for non-commercial distribution and educational purposes only.
jefferson-study-desk,studydesk.jpg,Jefferson's Personal Study Desk,image/jpg,"A functional piece of history, this desk served as the station for Jefferson's extensive correspondance and intellectual pursuits. The attached cabinet is full of personal effects, from books to letters and small art pieces.","Unknown","Wilson, Natalie",1780,Thomas Jefferson,Monticello,Study,Allowed for non-commercial distribution and educational purposes only.
jefferson-clock-weights,clockweights.jpg,Monticello Great Clock,image/jpg,"Designed by Peter Spunk in 1804, these clock weights are a part of the elaborate dual-faced timepiece that dominates the entrance hall of the home and a second face above the exterior front door. There was a slight miscalculation that resulted in holes needing to be cut into the floor to properly accomodate the ball weights.","Spruck, Peter","Wilson, Natalie",1800,Thomas Jefferson,Monticello,Architecture,Allowed for non-commercial distribution and educational purposes only.
